Date,Open,High,Low,Close,Adj Close,Volume
2020-12-03,3520.530029,3523.600098,3502.649902,3517.100098,3517.100098,34857500
2020-12-04,3516.179932,3540.689941,3516.179932,3539.270020,3539.270020,46292000
2020-12-07,3536.050049,3536.050049,3499.139893,3530.080078,3530.080078,32036800
2020-12-08,3522.989990,3531.689941,3503.280029,3525.870117,3525.870117,25582800
2020-12-09,3532.040039,3557.389893,3527.419922,3529.020020,3529.020020,31808900
2020-12-10,3529.040039,3541.239990,3498.959961,3522.310059,3522.310059,38432300
2020-12-11,3515.830078,3515.830078,3461.469971,3485.840088,3485.840088,35371700
2020-12-14,3497.840088,3531.949951,3497.840088,3503.959961,3503.959961,32494200
2020-12-15,3503.379883,3528.830078,3497.469971,3521.500000,3521.500000,32146400
2020-12-16,3524.120117,3560.709961,3523.929932,3543.000000,3543.000000,38833500
2020-12-17,3550.370117,3573.449951,3550.370117,3560.870117,3560.870117,32518600
2020-12-18,3556.149902,3586.439941,3544.770020,3545.739990,3545.739990,69147500
2020-12-21,3516.659912,3516.659912,3401.139893,3448.679932,3448.679932,50408100
2020-12-22,3455.939941,3503.030029,3455.939941,3497.489990,3497.489990,26354300
2020-12-23,3502.429932,3544.550049,3502.429932,3539.260010,3539.260010,25529100
2020-12-28,3554.129883,3583.209961,3554.129883,3575.409912,3575.409912,19599700
2020-12-29,3580.449951,3603.169922,3576.760010,3581.370117,3581.370117,18324600
2020-12-30,3580.909912,3591.250000,3569.620117,3571.590088,3571.590088,16178100
2021-01-04,3565.679932,3609.909912,3548.310059,3564.389893,3564.389893,31524100
2021-01-05,3554.239990,3574.979980,3524.629883,3547.850098,3547.850098,31896700
2021-01-06,3559.810059,3620.570068,3547.449951,3611.080078,3611.080078,50984300
2021-01-07,3621.159912,3635.639893,3604.129883,3622.419922,3622.419922,36856200
2021-01-08,3632.139893,3657.830078,3630.709961,3645.050049,3645.050049,33364700
2021-01-11,3636.669922,3641.739990,3595.110107,3620.620117,3620.620117,30540000
2021-01-12,3622.370117,3633.679932,3600.060059,3612.129883,3612.129883,33480900
2021-01-13,3615.020020,3624.189941,3599.489990,3616.510010,3616.510010,27858200
2021-01-14,3619.300049,3647.320068,3619.300049,3641.370117,3641.370117,35167600
2021-01-15,3633.409912,3633.459961,3573.600098,3599.550049,3599.550049,39021900
2021-01-18,3591.229980,3603.360107,3577.770020,3602.669922,3602.669922,20612100
2021-01-19,3618.030029,3623.260010,3591.729980,3595.419922,3595.419922,25092300
2021-01-20,3603.800049,3630.439941,3603.570068,3624.040039,3624.040039,27547400
2021-01-21,3637.860107,3649.729980,3616.500000,3618.350098,3618.350098,28630500
2021-01-22,3611.429932,3611.429932,3570.679932,3602.409912,3602.409912,32662800
2021-01-25,3614.719971,3621.489990,3540.250000,3553.139893,3553.139893,42055600
2021-01-26,3551.209961,3607.419922,3551.209961,3592.830078,3592.830078,43380300
2021-01-27,3593.189941,3593.189941,3502.739990,3536.379883,3536.379883,52940000
2021-01-28,3519.110107,3567.060059,3473.760010,3557.040039,3557.040039,63592600
2021-01-29,3538.629883,3538.629883,3481.439941,3481.439941,3481.439941,50208600
2021-02-01,3492.860107,3543.179932,3492.860107,3530.850098,3530.850098,30791900
2021-02-02,3545.090088,3596.199951,3545.090088,3590.459961,3590.459961,39362600
2021-02-03,3599.760010,3632.669922,3599.360107,3609.750000,3609.750000,56215100
2021-02-04,3604.620117,3644.639893,3604.620117,3642.120117,3642.120117,47389500
2021-02-05,3642.689941,3668.399902,3642.280029,3655.770020,3655.770020,56119600
2021-02-08,3665.770020,3681.820068,3661.879883,3665.510010,3665.510010,44042800
2021-02-09,3669.540039,3670.800049,3649.500000,3661.129883,3661.129883,31713900
2021-02-10,3672.120117,3677.159912,3628.469971,3648.370117,3648.370117,32370100
2021-02-11,3654.340088,3673.389893,3648.409912,3671.679932,3671.679932,29117700
2021-02-12,3669.040039,3696.189941,3649.110107,3695.610107,3695.610107,30955700
2021-02-15,3711.350098,3742.530029,3706.399902,3734.199951,3734.199951,35286100
2021-02-16,3735.530029,3740.560059,3718.659912,3726.399902,3726.399902,28606200
2021-02-17,3720.260010,3726.350098,3696.120117,3699.850098,3699.850098,35999700
2021-02-18,3700.989990,3711.379883,3672.800049,3681.040039,3681.040039,31640800
2021-02-19,3683.379883,3718.989990,3681.449951,3713.459961,3713.459961,39007400
2021-02-22,3706.070068,3707.419922,3660.899902,3699.850098,3699.850098,30542000
2021-02-23,3698.239990,3708.110107,3643.330078,3689.100098,3689.100098,39946600
2021-02-24,3684.669922,3712.659912,3681.659912,3705.989990,3705.989990,33989500
2021-02-25,3716.669922,3728.649902,3685.280029,3685.280029,3685.280029,48968200
2021-02-26,3665.889893,3676.590088,3622.239990,3636.439941,3636.439941,45996600
2021-03-01,3658.120117,3711.520020,3658.120117,3706.620117,3706.620117,31518300
2021-03-02,3702.800049,3728.469971,3689.820068,3707.719971,3707.719971,29652600
2021-03-03,3711.389893,3742.500000,3687.449951,3712.780029,3712.780029,43726800
2021-03-04,3702.370117,3716.310059,3680.830078,3704.850098,3704.850098,37058700
2021-03-05,3689.409912,3714.260010,3656.209961,3669.540039,3669.540039,45455700
2021-03-08,3679.350098,3767.449951,3679.350098,3763.239990,3763.239990,47410500
2021-03-09,3759.260010,3795.629883,3754.620117,3786.050049,3786.050049,43297100
2021-03-10,3780.260010,3822.659912,3780.000000,3819.919922,3819.919922,34473700
2021-03-11,3827.179932,3846.510010,3827.179932,3845.639893,3845.639893,36672200
2021-03-12,3840.729980,3840.729980,3818.250000,3833.360107,3833.360107,27642900
2021-03-15,3840.850098,3857.070068,3818.199951,3829.840088,3829.840088,32094800
